alarm_id,timestamp,source_system,host,service,severity,alarm_type,message,veri_merkezi,kabin,ortam,incident_id
ALM-10023,2026-05-14T01:20:54,AppDynamics,ao-032-subscriber,subscriber-db,4,pkt_loss,Paket kaybi yuzde 72,dc2,rack-C,prod,HIST-2026-001
ALM-10084,2026-05-14T01:20:56,AppDynamics,ao-018-billing,billing-service,5,conn_refused,"subscriber-db baglantisi reddedildi, connection refused",dc2,rack-A,prod,HIST-2026-001
ALM-10010,2026-05-14T01:20:59,AppDynamics,ao-002-api,api-gateway,4,pkt_loss,Paket kaybi yuzde 37,dc2,rack-C,prod,HIST-2026-001
ALM-10012,2026-05-14T01:21:03,Prometheus,ao-008-web,web-bff,4,pkt_loss,Paket kaybi yuzde 71,dc2,rack-C,prod,HIST-2026-001
ALM-10083,2026-05-14T01:21:03,Prometheus,ao-020-billing,billing-service,4,latency_high,"Yanit suresi p99 esigi asti, 208 ms",dc2,rack-C,prod,HIST-2026-001
ALM-10025,2026-05-14T01:21:05,AppDynamics,ao-044-load,load-balancer,3,pkt_loss,Paket kaybi yuzde 78,dc2,rack-C,prod,HIST-2026-001
ALM-10177,2026-05-14T01:21:09,SyslogNG,ao-031-subscriber,subscriber-db,3,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (214 ms),dc1,rack-B,prod,HIST-2026-001
ALM-10230,2026-05-14T01:21:13,Prometheus,ao-002-api,api-gateway,5,timeout,dns-resolver servisine yapilan cagri zaman asimina ugradi (152 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10241,2026-05-14T01:21:14,SyslogNG,ao-008-web,web-bff,4,latency_high,"Yanit suresi p99 esigi asti, 247 ms",dc2,rack-C,prod,HIST-2026-001
ALM-10114,2026-05-14T01:21:15,SyslogNG,ao-031-subscriber,subscriber-db,5,http_5xx,HTTP 5xx hata orani yuzde 83 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10035,2026-05-14T01:21:16,AppDynamics,ao-003-api,api-gateway,5,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (122 ms),dc1,rack-A,prod,HIST-2026-001
ALM-10059,2026-05-14T01:21:19,AppDynamics,ao-018-billing,billing-service,4,latency_high,"Yanit suresi p99 esigi asti, 585 ms",dc2,rack-A,prod,HIST-2026-001
ALM-10182,2026-05-14T01:21:33,Prometheus,ao-031-subscriber,subscriber-db,4,http_5xx,HTTP 5xx hata orani yuzde 60 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10263,2026-05-14T01:21:36,SyslogNG,ao-039-message,message-queue,2,cert_expiry,Sertifika 21 gun icinde suresi dolacak,dc1,rack-A,prod,HIST-2026-001
ALM-10152,2026-05-14T01:21:40,SyslogNG,ao-038-cache,cache-cluster,3,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (103 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10075,2026-05-14T01:21:43,Prometheus,ao-042-load,load-balancer,3,http_5xx,HTTP 5xx hata orani yuzde 72 seviyesine cikti,dc2,rack-A,prod,HIST-2026-001
ALM-10029,2026-05-14T01:21:46,OBM,ao-019-billing,billing-service,4,http_5xx,HTTP 5xx hata orani yuzde 52 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10171,2026-05-14T01:21:49,AppDynamics,ao-007-web,web-bff,4,http_5xx,HTTP 5xx hata orani yuzde 79 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10130,2026-05-14T01:22:05,SyslogNG,ao-008-web,web-bff,4,latency_high,"Yanit suresi p99 esigi asti, 625 ms",dc2,rack-C,prod,HIST-2026-001
ALM-10076,2026-05-14T01:22:08,Zabbix,ao-026-payment,payment-service,5,http_5xx,HTTP 5xx hata orani yuzde 26 seviyesine cikti,dc2,rack-C,prod,HIST-2026-001
ALM-10146,2026-05-14T01:22:08,OBM,ao-019-billing,billing-service,4,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (182 ms),dc1,rack-B,prod,HIST-2026-001
ALM-10090,2026-05-14T01:22:21,AppDynamics,ao-050-reconciliation,reconciliation-batch,4,timeout,dns-resolver servisine yapilan cagri zaman asimina ugradi (122 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10143,2026-05-14T01:22:22,OBM,ao-007-web,web-bff,4,latency_high,"Yanit suresi p99 esigi asti, 918 ms",dc1,rack-B,prod,HIST-2026-001
ALM-10121,2026-05-14T01:22:29,SyslogNG,ao-001-api,api-gateway,3,thread_pool,Thread pool doluluk yuzde 88,dc1,rack-B,prod,HIST-2026-001
ALM-10285,2026-05-14T01:22:32,AppDynamics,ao-023-charging,charging-service,2,cert_expiry,Sertifika 51 gun icinde suresi dolacak,dc1,rack-C,prod,HIST-2026-001
ALM-10112,2026-05-14T01:22:49,AppDynamics,ao-042-load,load-balancer,4,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (214 ms),dc2,rack-A,prod,HIST-2026-001
ALM-10179,2026-05-14T01:22:55,AppDynamics,ao-026-payment,payment-service,3,conn_refused,"subscriber-db baglantisi reddedildi, connection refused",dc2,rack-C,prod,HIST-2026-001
ALM-10159,2026-05-14T01:23:02,Zabbix,ao-019-billing,billing-service,4,http_5xx,HTTP 5xx hata orani yuzde 27 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10201,2026-05-14T01:23:02,Zabbix,ao-038-cache,cache-cluster,4,http_5xx,HTTP 5xx hata orani yuzde 34 seviyesine cikti,dc2,rack-C,prod,HIST-2026-001
ALM-10195,2026-05-14T01:23:05,Zabbix,ao-042-load,load-balancer,5,http_5xx,HTTP 5xx hata orani yuzde 29 seviyesine cikti,dc2,rack-A,prod,HIST-2026-001
ALM-10157,2026-05-14T01:23:10,SyslogNG,ao-044-load,load-balancer,3,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (130 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10137,2026-05-14T01:23:12,AppDynamics,ao-033-subscriber,subscriber-db,5,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (111 ms),dc1,rack-A,prod,HIST-2026-001
ALM-10043,2026-05-14T01:23:13,AppDynamics,ao-008-web,web-bff,4,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (211 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10132,2026-05-14T01:23:16,Zabbix,ao-020-billing,billing-service,3,http_5xx,HTTP 5xx hata orani yuzde 79 seviyesine cikti,dc2,rack-C,prod,HIST-2026-001
ALM-10057,2026-05-14T01:23:17,SyslogNG,ao-007-web,web-bff,3,latency_high,"Yanit suresi p99 esigi asti, 763 ms",dc1,rack-B,prod,HIST-2026-001
ALM-10104,2026-05-14T01:23:18,SyslogNG,ao-018-billing,billing-service,4,latency_high,"Yanit suresi p99 esigi asti, 949 ms",dc2,rack-A,prod,HIST-2026-001
ALM-10048,2026-05-14T01:23:20,AppDynamics,ao-018-billing,billing-service,3,http_5xx,HTTP 5xx hata orani yuzde 54 seviyesine cikti,dc2,rack-A,prod,HIST-2026-001
ALM-10233,2026-05-14T01:23:21,OBM,ao-008-web,web-bff,3,latency_high,"Yanit suresi p99 esigi asti, 733 ms",dc2,rack-C,prod,HIST-2026-001
ALM-10254,2026-05-14T01:23:24,Zabbix,ao-005-mobile,mobile-bff,2,backup_warn,Yedekleme 69 dakika gecikmeli,dc1,rack-C,prod,HIST-2026-001
ALM-10086,2026-05-14T01:23:25,AppDynamics,ao-025-payment,payment-service,3,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (138 ms),dc1,rack-B,prod,HIST-2026-001
ALM-10123,2026-05-14T01:23:27,Prometheus,ao-031-subscriber,subscriber-db,4,thread_pool,Thread pool doluluk yuzde 96,dc1,rack-B,prod,HIST-2026-001
ALM-10058,2026-05-14T01:23:32,Zabbix,ao-026-payment,payment-service,3,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (170 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10160,2026-05-14T01:23:35,SyslogNG,ao-003-api,api-gateway,5,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (149 ms),dc1,rack-A,prod,HIST-2026-001
ALM-10061,2026-05-14T01:23:36,Zabbix,ao-037-cache,cache-cluster,3,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (219 ms),dc1,rack-B,prod,HIST-2026-001
ALM-10176,2026-05-14T01:23:38,Prometheus,ao-002-api,api-gateway,5,http_5xx,HTTP 5xx hata orani yuzde 38 seviyesine cikti,dc2,rack-C,prod,HIST-2026-001
ALM-10142,2026-05-14T01:23:42,Zabbix,ao-050-reconciliation,reconciliation-batch,4,thread_pool,Thread pool doluluk yuzde 92,dc2,rack-C,prod,HIST-2026-001
ALM-10164,2026-05-14T01:23:43,SyslogNG,ao-050-reconciliation,reconciliation-batch,5,http_5xx,HTTP 5xx hata orani yuzde 50 seviyesine cikti,dc2,rack-C,prod,HIST-2026-001
ALM-10147,2026-05-14T01:23:45,OBM,ao-037-cache,cache-cluster,3,conn_refused,"subscriber-db baglantisi reddedildi, connection refused",dc1,rack-B,prod,HIST-2026-001
ALM-10105,2026-05-14T01:23:46,OBM,ao-043-load,load-balancer,4,thread_pool,Thread pool doluluk yuzde 88,dc1,rack-B,prod,HIST-2026-001
ALM-10183,2026-05-14T01:23:47,Zabbix,ao-008-web,web-bff,4,conn_refused,"subscriber-db baglantisi reddedildi, connection refused",dc2,rack-C,prod,HIST-2026-001
ALM-10184,2026-05-14T01:23:54,Zabbix,ao-033-subscriber,subscriber-db,5,timeout,dns-resolver servisine yapilan cagri zaman asimina ugradi (90 ms),dc1,rack-A,prod,HIST-2026-001
ALM-10062,2026-05-14T01:23:56,AppDynamics,ao-014-session,session-service,3,conn_refused,"cache-cluster baglantisi reddedildi, connection refused",dc2,rack-C,prod,HIST-2026-001
ALM-10149,2026-05-14T01:23:56,AppDynamics,ao-001-api,api-gateway,4,thread_pool,Thread pool doluluk yuzde 94,dc1,rack-B,prod,HIST-2026-001
ALM-10092,2026-05-14T01:23:58,AppDynamics,ao-001-api,api-gateway,3,http_5xx,HTTP 5xx hata orani yuzde 44 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10139,2026-05-14T01:24:06,AppDynamics,ao-001-api,api-gateway,3,http_5xx,HTTP 5xx hata orani yuzde 30 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10212,2026-05-14T01:24:07,AppDynamics,ao-003-api,api-gateway,4,thread_pool,Thread pool doluluk yuzde 99,dc1,rack-A,prod,HIST-2026-001
ALM-10053,2026-05-14T01:24:08,OBM,ao-008-web,web-bff,3,http_5xx,HTTP 5xx hata orani yuzde 37 seviyesine cikti,dc2,rack-C,prod,HIST-2026-001
ALM-10063,2026-05-14T01:24:14,SyslogNG,ao-037-cache,cache-cluster,5,conn_refused,"load-balancer baglantisi reddedildi, connection refused",dc1,rack-B,prod,HIST-2026-001
ALM-10220,2026-05-14T01:24:14,AppDynamics,ao-031-subscriber,subscriber-db,5,conn_refused,"load-balancer baglantisi reddedildi, connection refused",dc1,rack-B,prod,HIST-2026-001
ALM-10264,2026-05-14T01:24:22,Prometheus,ao-004-mobile,mobile-bff,1,backup_warn,Yedekleme 57 dakika gecikmeli,dc2,rack-B,prod,HIST-2026-001
ALM-10124,2026-05-14T01:24:23,SyslogNG,ao-012-session,session-service,3,http_5xx,HTTP 5xx hata orani yuzde 86 seviyesine cikti,dc2,rack-A,prod,HIST-2026-001
ALM-10178,2026-05-14T01:24:23,OBM,ao-014-session,session-service,5,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (130 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10054,2026-05-14T01:24:26,OBM,ao-002-api,api-gateway,3,thread_pool,Thread pool doluluk yuzde 96,dc2,rack-C,prod,HIST-2026-001
ALM-10088,2026-05-14T01:24:26,OBM,ao-020-billing,billing-service,5,http_5xx,HTTP 5xx hata orani yuzde 64 seviyesine cikti,dc2,rack-C,prod,HIST-2026-001
ALM-10194,2026-05-14T01:24:29,SyslogNG,ao-037-cache,cache-cluster,4,thread_pool,Thread pool doluluk yuzde 91,dc1,rack-B,prod,HIST-2026-001
ALM-10188,2026-05-14T01:24:30,AppDynamics,ao-026-payment,payment-service,4,latency_high,"Yanit suresi p99 esigi asti, 224 ms",dc2,rack-C,prod,HIST-2026-001
ALM-10106,2026-05-14T01:24:32,OBM,ao-014-session,session-service,5,timeout,dns-resolver servisine yapilan cagri zaman asimina ugradi (175 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10173,2026-05-14T01:24:36,AppDynamics,ao-003-api,api-gateway,3,timeout,dns-resolver servisine yapilan cagri zaman asimina ugradi (154 ms),dc1,rack-A,prod,HIST-2026-001
ALM-10117,2026-05-14T01:24:40,AppDynamics,ao-018-billing,billing-service,3,conn_refused,"cache-cluster baglantisi reddedildi, connection refused",dc2,rack-A,prod,HIST-2026-001
ALM-10108,2026-05-14T01:24:43,AppDynamics,ao-003-api,api-gateway,5,timeout,dns-resolver servisine yapilan cagri zaman asimina ugradi (194 ms),dc1,rack-A,prod,HIST-2026-001
ALM-10186,2026-05-14T01:24:45,AppDynamics,ao-032-subscriber,subscriber-db,4,thread_pool,Thread pool doluluk yuzde 90,dc2,rack-C,prod,HIST-2026-001
ALM-10113,2026-05-14T01:24:49,AppDynamics,ao-001-api,api-gateway,5,http_5xx,HTTP 5xx hata orani yuzde 49 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10046,2026-05-14T01:24:52,Prometheus,ao-025-payment,payment-service,3,http_5xx,HTTP 5xx hata orani yuzde 71 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10079,2026-05-14T01:25:03,Prometheus,ao-013-session,session-service,4,conn_refused,"cache-cluster baglantisi reddedildi, connection refused",dc1,rack-B,prod,HIST-2026-001
ALM-10044,2026-05-14T01:25:07,AppDynamics,ao-007-web,web-bff,4,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (200 ms),dc1,rack-B,prod,HIST-2026-001
ALM-10270,2026-05-14T01:25:10,SyslogNG,ao-048-batch,batch-scheduler,1,cert_expiry,Sertifika 47 gun icinde suresi dolacak,dc2,rack-A,prod,HIST-2026-001
ALM-10234,2026-05-14T01:25:11,SyslogNG,ao-001-api,api-gateway,3,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (93 ms),dc1,rack-B,prod,HIST-2026-001
ALM-10198,2026-05-14T01:25:12,AppDynamics,ao-002-api,api-gateway,4,latency_high,"Yanit suresi p99 esigi asti, 480 ms",dc2,rack-C,prod,HIST-2026-001
ALM-10206,2026-05-14T01:25:12,Zabbix,ao-025-payment,payment-service,5,http_5xx,HTTP 5xx hata orani yuzde 61 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10033,2026-05-14T01:25:16,Prometheus,ao-032-subscriber,subscriber-db,4,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (118 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10087,2026-05-14T01:25:17,OBM,ao-033-subscriber,subscriber-db,4,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (140 ms),dc1,rack-A,prod,HIST-2026-001
ALM-10223,2026-05-14T01:25:24,SyslogNG,ao-025-payment,payment-service,5,http_5xx,HTTP 5xx hata orani yuzde 54 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10273,2026-05-14T01:25:27,OBM,ao-041-object,object-store,1,backup_warn,Yedekleme 90 dakika gecikmeli,dc1,rack-C,prod,HIST-2026-001
ALM-10051,2026-05-14T01:25:33,AppDynamics,ao-002-api,api-gateway,3,http_5xx,HTTP 5xx hata orani yuzde 35 seviyesine cikti,dc2,rack-C,prod,HIST-2026-001
ALM-10242,2026-05-14T01:25:35,SyslogNG,ao-038-cache,cache-cluster,5,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (173 ms),dc2,rack-C,prod,HIST-2026-001
